code_postal,bureau_postal,localite,delegation,gouvernorat,region,aliases,source,confidence
1124,CITE HACHED,CITE HACHED,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE HAMDI,CITE HAMDI,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE HAMMED NOUVELLE,CITE HAMMED NOUVELLE,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE JEBEL,CITE JEBEL,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE MOKHTAR,CITE MOKHTAR,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE NAJIBA,CITE NAJIBA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE RURALE,CITE RURALE,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE SIDI SALEM,CITE SIDI SALEM,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE TAREK IBN ZIED,CITE TAREK IBN ZIED,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE TOUHAMI NEFZI,CITE TOUHAMI NEFZI,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE TRABELSI,CITE TRABELSI,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,CITE YOUGHARTA,CITE YOUGHARTA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2012,EL HABIBIA,EL HABIBIA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,EL HENNA,EL HENNA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2075,EL MANSOURA,EL MANSOURA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,EZZAHRA,EZZAHRA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,HENCHIR DHENIBA,HENCHIR DHENIBA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1124,JEDAIDA,JEDAIDA,JEDAIDA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2011,DENDEN,DENDEN,MANNOUBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2010,LA MANNOUBA,LA MANNOUBA,MANNOUBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2028,BOU HANECH,BOU HANECH,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1110,BOU REGBA,BOU REGBA,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1110,CITE BIR BEN NJIMA,CITE BIR BEN NJIMA,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1110,CITE DE LA RTT 3,CITE DE LA RTT 3,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1110,CITE TOUMIA,CITE TOUMIA,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2028,EL BASSATINE,EL BASSATINE,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1153,EL FEJJA,EL FEJJA,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1110,EL HAMAYEM,EL HAMAYEM,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1110,GHEDAOUNA,GHEDAOUNA,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1110,MORNAGUIA,MORNAGUIA,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1116,MORNAGUIA 20 MARS,MORNAGUIA 20 MARS,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2071,SIDI ALI EL HATTAB,SIDI ALI EL HATTAB,MORNAGUIA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE 7 NOVEMBRE,CITE 7 NOVEMBRE,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE AFH,CITE AFH,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE BEJOUA 2,CITE BEJOUA 2,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE BEN ARFA,CITE BEN ARFA,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE BEN JEMAA,CITE BEN JEMAA,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE BENNOUR BEJOUA 1,CITE BENNOUR BEJOUA 1,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE BOUZID,CITE BOUZID,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE DHAMENE 2,CITE DHAMENE 2,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE EL BOUSTENE 1,CITE EL BOUSTENE 1,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE EL BOUSTENE 2,CITE EL BOUSTENE 2,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE EL IZDIHAR BEJOUA,CITE EL IZDIHAR BEJOUA,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE EL MOEZZIA,CITE EL MOEZZIA,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE EL MOULTAKA 1,CITE EL MOULTAKA 1,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2031,CITE ENNACIM,CITE ENNACIM,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2031,CITE ERRIADH ZONE C,CITE ERRIADH ZONE C,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2031,CITE ERRIADH ZONE F,CITE ERRIADH ZONE F,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE ETTOURJMENE,CITE ETTOURJMENE,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE MARSEILLE,CITE MARSEILLE,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,CITE MILITAIRE,CITE MILITAIRE,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2031,ESSAIDA,ESSAIDA,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2021,OUED ELLIL,OUED ELLIL,OUED ELLIL,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1144,AIN EL KARMA,AIN EL KARMA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1144,AIN ZAMMIT,AIN ZAMMIT,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,ARGOUB ERROUMI,ARGOUB ERROUMI,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,BIR EZZITOUN,BIR EZZITOUN,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1143,BORJ ETTOUMI,BORJ ETTOUMI,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1133,CHOUIGUI,CHOUIGUI,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE 7 NOVEMBRE,CITE 7 NOVEMBRE,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE CHEBBI,CITE CHEBBI,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE DE FRANCE,CITE DE FRANCE,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE DE LA PALESTINE,CITE DE LA PALESTINE,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE EL ARGOUB,CITE EL ARGOUB,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE EL BASSATINE,CITE EL BASSATINE,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE EL KEF LAHMAR,CITE EL KEF LAHMAR,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE EL KHARROUBA,CITE EL KHARROUBA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE EL MALJA,CITE EL MALJA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE EL MALJA HAMRA,CITE EL MALJA HAMRA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE EL MANDRA,CITE EL MANDRA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE EL MELLASSINE,CITE EL MELLASSINE,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE ENNAJAH,CITE ENNAJAH,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE ERRAJA,CITE ERRAJA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE ERRIMEL,CITE ERRIMEL,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE ESSAADA,CITE ESSAADA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE ESSAADA 2,CITE ESSAADA 2,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE KHELIF JALLED,CITE KHELIF JALLED,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE LAROUSSIA,CITE LAROUSSIA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE POPULAIRE,CITE POPULAIRE,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE ROUTE CHOUIGUI,CITE ROUTE CHOUIGUI,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,CITE SOUYAH,CITE SOUYAH,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1144,EDDIKHILA,EDDIKHILA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1144,EL ANSARINE,EL ANSARINE,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,EL AROUSSIA,EL AROUSSIA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1144,EL HAOUARIA,EL HAOUARIA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1143,EL MAHFOURA,EL MAHFOURA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1144,EL MELLAHA,EL MELLAHA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1144,GOSSET EL BEY,GOSSET EL BEY,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,GOUMRIANE,GOUMRIANE,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1144,GUEFFAYA,GUEFFAYA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1144,SIDI ABDELBASSET,SIDI ABDELBASSET,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
1130,TEBOURBA,TEBOURBA,TEBOURBA,MANOUBA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
