numero_permis,n_occurrences,is_suspect
01/439847,5,False
01/487897,5,False
17/9351,5,False
02/177787,5,False
02/214517,5,False
02/75205,5,False
00/393175,5,False
24/18152,5,False
03/109495,5,False
05/73037,5,False
24/102659,5,False
16/47499,5,False
13/40572,5,False
01/479430,5,False
23/127958,5,False
22/62150,5,False
17/30614,5,False
23/86790,5,False
23/83811,5,False
14/256487,5,False
24/43946,5,False
2470117,5,False
01471007,5,False
01/324290,5,False
09/177838,5,False
24/59760,5,False
24/86086,5,False
24/86826,5,False
01/349045,5,False
03/158044,5,False
24/17106,5,False
17/28016,5,False
01/416665,5,False
01/27020,5,False
23/84759,5,False
09/174444,5,False
24/31459,5,False
00/400906,5,False
24/6978,5,False
14/146609,5,False
01/135130,5,False
01/464107,5,False
17/6087,5,False
12/4674,5,False
22/122524,5,False
17/28623,5,False
01/116967,5,False
01/387816,5,False
23/88581,5,False
02/19422,5,False
17/38841,5,False
00/425383,5,False
01/480495,5,False
23/62169,5,False
07/39569,5,False
01/280611,5,False
23/178701,5,False
01/492600,5,False
15/14475,5,False
21/12290,5,False
02/51120,5,False
08/88237,5,False
00/428927,5,False
01/062421,5,False
23/6119,5,False
22/00642,5,False
01/124479,5,False
17/13349,5,False
01/252246,5,False
23/70773,5,False
14/81799,5,False
22/111034,5,False
03/119819,5,False
09/161251,5,False
02/85372,5,False
01/63960,5,False
09/14359,5,False
22/92370,5,False
02/174205,5,False
22/16664,5,False
01/210876,5,False
01/419473,5,False
01/188815,5,False
01/422901,5,False
22/123659,5,False
14/125487,5,False
00/456143,5,False
01/459425,5,False
24/68659,5,False
24/27604,5,False
02/91045,5,False
23/207188,5,False
02/171892,5,False
01/393344,5,False
02/203786,5,False
08/79489,5,False
01/263362,5,False
01/280116,5,False
23/91678,5,False
01/235697,5,False
08/18024,5,False
02/264080,5,False
01/118181,5,False
01/512173,5,False
22/91414,5,False
01/498457,5,False
01/431195,5,False
24/42654,5,False
23/187794,5,False
01/266380,5,False
01/485592,5,False
23/69976,5,False
01/18091,5,False
18/49325,5,False
12/21321,5,False
24/131195,5,False
18/22452,5,False
01/451236,5,False
01/386050,5,False
23/27795,5,False
17/43723,5,False
24/31575,5,False
02/180729,5,False
15/3363,5,False
01/501212,5,False
17/34100,5,False
23/17136,5,False
01/138980,5,False
04/29174,5,False
05/33742,5,False
16/51536,5,False
02/113121,5,False
23/142077,5,False
15/52570,5,False
2362455,5,False
23/66881,5,False
01/158272,5,False
01/451997,5,False
01/261605,5,False
01/1236,5,False
15/130901,5,False
21/21431,5,False
24/91369,5,False
02152597,5,False
01/159996,5,False
14/54856,5,False
23/188294,5,False
23/36009,5,False
01/522020,5,False
17/5712,5,False
01/35225,5,False
01/155894,5,False
01/261407,5,False
01/124673,5,False
17/46354,5,False
04/90626,5,False
02/218792,5,False
23/17739,5,False
24/64227,5,False
17/31343,5,False
01/448015,5,False
01/382921,5,False
23/26478,5,False
03/95714,5,False
01/304081,5,False
01/388449,5,False
02/192278,5,False
02/36629,5,False
01379939,5,False
22/66300,5,False
24/99541,5,False
12/115115,5,False
24/93598,5,False
22/3819,5,False
02/74259,5,False
03/165805,5,False
02/51794,5,False
14/169271,5,False
02/270968,5,False
01/55698,5,False
23/210940,5,False
01/415316,5,False
17/28433,5,False
04/120359,5,False
13/20531,5,False
01/245698,5,False
23/67665,5,False
15/40965,5,False
23/02680,5,False
01/368811,5,False
01/358575,5,False
24/40979,5,False
22/24056,5,False
22/94653,5,False
01/76135,5,False
01/1458963,5,False
22/70052,5,False
